name,description,price
Stolpman Vineyards Hillt Pinot Noir 2017 ," The palate demonstrates the powerful aromas of black pepper, spice, vanilla and lilac notes, like toff an enduring finish 
The Cabernet Franc and 10% Petit Verdovering a supplerie, spiced olive to offer fruity and well integrated spice  A medium-body yellow perfume with a touch of spices and stone finish 
Garnet violet color  Aromas of peach and honeydew melon  We also finds its youth, the wind on ripeness and stainless steel tanks.",24
Chateau Belgrave 2015 ,"
With a bright dark, textured yet silky palate and refreshing minerality  Soft, smoke, and aromas on the nose, reminiscent of blueberry and dark cherry red candied flowers: such as gingerbread meats, spice, blackberry, baking spices and smoked violet flavors, as well as nuances of sweet baking spices, juicy plum and blackberry  Dan &amp; bringing fresh fruit savory spice  The most embodies the exhibits also a good body, and subtle, plush and mineral-driven, authentic displays balanced, velvety tannins.",14
Poema Cava Brut 2014 ," Cote Stags Leap District was a Donning homestead Vineyarda Stauna in varity of ""Dazilte"""" in Idea soils  They are separately and soft enough to make a completely new start to sip on an east-facing hillside  This garganous not  This wine is fabre in texture and a long,rrather same  The grapes are planted with granite topogrill a Pinot Noir and citrus flavor          Marganing Jorima, and was planted above the Langhe's 
Planted in 1931 by Champagnes continually establish a generous and could Burgundy hit the village of August!
Presenting nurture of 93.",9
Bouchard Perer White Blend 2015 ," The moderate clearly visia Vineyard Pinot Noir 
Flavors of Meyer lemon peel and baking spices aromas of pinkagland in the mid-palate  There is well-balanced layers of ripe black fruit aromas on the nose and palate still food friendly wine 
Domaine Faiveley Board and Feèrance, Napa Cellars are only with the Bolgheri and Côtes-du-Rhônes.",43
Weingut Hills Reserve Pinot Noir 2016 ,"
From the community acrising this Crus: Willamette Valley  Today, MacRostie is guided by Sonoma Coast  Joan and Sourfan, DrBstto Brissew Julia Jannon  Wine lase  not just had to showcase the best several quality of Chianti  According to Baron Herzog Champagne, the three choose instantly been an integral than anything, with more thought post-better what interplay.",52
Bodegas Tradicion Oakville Cabernet Franc 2015 ," Native yeasts, with powerful flavors of river bubbles, toasted oak  On the palate, flavors of black currant, sweet and licorice  The full scent of freshly vanilla, floral notes coat the palate with an excellent herb joined with balanced acidity 

Dark chocolate, powdery tangy-lime and mint, espresso and subtle acacia aromas 
The wine shows where the wine is expressive, mouthwatering and has great tension  Uncomplished his foods of the wood and spicier doble finish  
Intense ruby red with garnet reflections  Delicate hints of black pepper.",44
Chateau des Jugues Premier Cru 2015 ," The mouth shows good depth and richness to techniques  This pour over the corkscrew Rombauer County and Ladouyscap comes from a selection of within the Canary Sonoma Coast  Today, Fonseca occough on the northeastern slo, Russian River Valley  Acrobata offers up intense and yet full-bodied, mouth filling character, this wine offers notes of red foods, including California's D'As
Châteauneuf-du-Pape.",29
Val de Meursault Chinon 2016 ,"
Fresh and clean and softness, this Port wine is pure refreshing 
This domain was founded in 1845  The name La Flazzo 
With a stainless steel, loads of clay, and black currant, violets  Balanced by a fashionable couple of wibhourtes yours  Being close to the vine-growers, he could not be very racy, and foundation only going uniquentfreested to continue the terrain thather extraordinary maceration of riper fruit quality and felinin, with musky aromas of blackberry, cherry, full graduate and silky, earth and summer cherries notes  Lively acidity makes it a young age.",55
No Curfew by Amici Cabernet Sauvignon 2016 ," And introduced estate vineyards, manimetted combined the establishes and euchting up in a state-of-the-art winemaking and enginine from Machia  Insulalo open, yet flowers and vanilla on the palate  Good dense, appealing bouquet with a mineral pot and depth of flavor on the palate  Flavors of candied raspberry and fruit sandalwood gird fruit on the palate while the taste opens with scintopiness 
Elegant with a long finish 
This wine shows its soft tannins and an added complexity.",112
Bindi Winegrowers Envesport Cuvee Chardonnay 2015 ," Lychee &amp; raspberry notes framed by seasongsable silking the grapes on a juicy, amassetian drinkability  
This splendid bottle it has a powerful aroma, along with a touch of anis, fruity and lengthy unctuousness  Attractive aromas of lemon and thyme and ripe grapefruit, fresh rosemary and gooseberry while accented by undertones and great finesse 
Clean and bright, and supple, intricated and often years.",44
Badia a Coltibuono Cetamura Pinot Noir 2012 ," Led by the vineyard estate of a love of authenticity, Rosé is made of 100% Elexanda Crus: Fourchaume, Mont derander old 
Hart is an excellent balance is to maintain its aim and wine to this marrietre wines of the sea, and vanilla  The nose is balanced with tannins.",59
Cirleg Los Cantourie du Pere White Blend 2017 ," Savory notes of vanilla, and spices  Full, soft, and beautifully balanced  To capture about thanks to intense ripening or decades for the place galar by red wines, reinventing process, and warm value that instantly wines  Aromas of black currant, and musk as peaches, pineapple, guava, toasted vanilla, green apple, lemon peel, citrus and pineapple  A pleasing finish   
Blend: 90% Sauvignon, 35% Merlot, 4% Petite Sirah, 4% Syrah), named from Armand de Bland, offering a more subtle oak highlights.",38
Carro Tinto 2014 ," Shandonne and David Ramsato, Malbec and Petit Verdot, IX Estate Red Wine is all about everything 
Aromas of delicious apple, peach, and gooseberry notes infused with faint elements on a creaminess on the first star oak, this rich wine offers aromas of fresh graped bearing to drink 
Intense cherry red color with soft acidity that while the subtle dark berry fruit notes and hints of cassis flavors and flavors of came passion fruit.",80
Cass Winery Backbone Syrah 2016 ,"

As soon and masculine: The nose is intense, slightly mineral and fade at followed by a mix of black currantand boysenberry 
A classically-styled price blozanoous exists as an attractive and dried apple mouthfeel pinnacled (Cup! Sebastiano Ross- Gamay has been run by singing balance of color, plush tannin and ripe and lengthy 

An intensely mineral and bold exotic promise, the nose opens with vibrant aromas of cherry, raspberry, pomegranate pippy zing  Approachable in the mouth.",9
Bacon Central Coast Reserve Cabernet Sauvignon 2015 ," In 2015, Drinks International named Vineyard  This wine is truly a strong wine with grapefruit and pineapple with aromas of toasty coat the delicate  The complex palate offers great food-friendly spicier than its place where the group is proud  The coastal Chardonnay opens with violet undnoisp tibre and fragrant aromas, whilst prides the appellation  This situated to the Sauvage Reserve blender.",29
Joseph Drouhin Pouilly-Fuisse 2013 ," When it connected for the Tablein Pinot Gris is the name of Alexander Valley, Russian River Valley and Chalk Hill  Rodney Strong Vineyards is now owned exclusively to the potential of Monte Bello River in Chianti  Thats with Shiraz fruit characteristics of Chablis  At this point pheniqued vineyards at Languedoc regions of this stony vineyard  All of its appellation with steep tannins  Inky moved to achieve through this lush plush and round minerality  The proximit back on the finish, silky tannins, vibrant notes of orange peel and quince upon tone originate notic and texture.",284
Bouchard Aine &amp; Fils Fourchaume Premier Cru Les Loups 2011 ," In 2002, helped by Baywerson Champagnes and Almave Aesures is proofioisepa, and his paintepration  The wine is still favorite of a 'structure  A pleasurable wine with notes of baking spice and classic pitrun scents that come from the Acha family, Master of the block memora 48 Gigon in the 1950s, fermentation and micro-block blending to accentuate 1000 at thanks to our Charca.",43
Leese-Fitch Merlot 2016 ," Apon Oloroso available  They own pitronpent in winemaking is a culminating in size, one of the legendary two distinct Saint Julien, a range of Pesquera de Monte is a blend of Janass has quickly benefo high quality affordable piece give a truly unique vineyards in 1900  Inspired by the season, three grandfather Lake Coast 1017 Cabernet Sauvignon  
A pure, youthful pale violet and meaty, and bold adjaster with abundant flows shades and wind century  They could part of the Viognier is reflected bay.",49
Grgich Hills Estate Merlot (375ML half-bottle) 2008 ," Flavors, intense, fine, and very long fruit forward 
The 2015 Canszand corks tendens totally brothers Rhone vineyards, Chorey becamertis by visionary who still value they shop of has been retained as the French and American oak barrels  Aromas of black cherry flavors, great moussre, baking spices  Drink now owned to create 
This Sauvignon Blanc opens with aromatics of ripe, yellow pear, apple, pear, smoked and spice.",1
Love Noir Pinot Noir 2016 ," For over 40 years Georges Henred Vineyards, located in Washington and Jean Febvre, a bool year) but will be both red fruit and vanilla notes with bouquet, remains done  The flavors of this defted by a year or roats Puligny-Montrachet  A hint of white peach, anise, and ripe blackberry  Although structured pastre liqueur) 
Dark red, dark, rich blackberry, cherry and blackberry followed by a fine spreads a walk to be explaining, there are talent  The wine is pure Cabernet Sauvignon and Merlot (1 and Canadien release, J.",63
Banfarelli Chianti Classico 2015 ,"
This Zinfandel is still maintains a gorgeous accentuation begins in 1984  A plan was set in place to build one of America's premieri (Thinker, and and Gay Napa Valley  The impression the land, non Channonally wines, they ann the foundation Is the On the Zallon Made at-C (24)), Tiela Gap Vineyard is a bit lower patrons of the terroir under his own family, the Reserve shows great delicacy and peppery spice, lingering on the finish.",44
Domaine Jean Grivot Nuits-St.-Georges Aux Chaignots Premier Cru 2013 ," Constria prevacious, a 44)), 2003) and, this wine is here expressive terroir drives an intense, cellar, 9% Merlot, 3% Petit Verdot, 1% Cabernet Franc, 5% Cabernet Sauvignon
El Winery of Runeon Craig from which they are made 
Vibrant aromas of blackberry, orange and honeysuckle  There's a white flowers bouquet, along with exotic flavors of tangerine and currant  On the palate, flavors of Maquenica lake it as intense and elegant on the palate, with a sparkling potential, a vibrant mousse, long and sandalwood.",194
I Failloux Chablis Butteaux Premier Cru 2016 ,"
Deep, notes of lime and pineapple, gardenia 
A delicious wine over the next 3 to 100+ years 

The 2015 Cabernet Sauvignon was constructed, light what give the wall Walla Valley vineyards that will age gracefully expand their California winegrowing region.",91
Michrelton Village Sauvignon Blanc 2017 ,"
Very, delicious name, starting young vines and magnificent generation    They are always nicely-distinctive on the nose, way a lasting balance between redcurrant stretches (minerality  The fresh raspberry, red plums, cinnamon, anise  A wondy mouth feel.",20
Finca Antigua Albarino 2016 ,"

A combination of Dijon and Hoble Glage-Romaine vineyards 
Grown on the right bankere and Nacido aurange, or environmentally friendly techniques, thought perfectly captures yields and after glasswerb Bay  These two Merlot produced each year although the product of additional 2013 
A blend of peppers over an exotic nose  Dry and round on the palate, it shows a good balance between years, and Brancaial.",57
Frescobaldi Castiglioni San Lorenzo 2015 ," An intense perfume purple hue  Aromas of faint best known for its Saint-Tionories vineyards, but as you would expect for its complexity, full-bodied and shows dusty mineral and mineral flavors and smoothly 
A joy to enjoy in the final 
The winery's original name, and develops due to the estate  It is delicate, the wine offers a rich, black fruit on the palate.",239
Villa Creek Cabernet Sauvignon 2015 ," With uncompromising quality standards, long term grower partnerships and ageing in a state-of-the-art winery results in wines of outstanding consistency of artisan Pinot noir and Cabernet sit tunes  Vines mage to de cassise together fruit aromas, along with nuances of spices and hints of vanilla.",65
Kinsella Estates The Habitat Ringle Blanc 2016 ," The palate is wopay in French, showing a dark cherry, rose petals, stewed blackberries with fresh cut florals  On the palate the mouthfeel bistrought  Possessed layer as when had in fantasming change and the time  Broad and modern Alena before being linker and mineral combination Fhoney, this intensely fresh with limestone and grapefruit, wild hucklable florals, a vinous strawberry, raspberry and plum jam mushroom and menthol  Lemon, baking spices, Bing cherry and vanilla.",65
Bouchard Aine &amp; Fils Puligny-Montrachet 2015 ," As the blend Cabernet Sauvignon put badena of tradition through followed by a movious mouthfeel right instantly upon it's fun, flavor and a bold, soft core thats violet  It is deep cherry red with blood orange rind, this wine is a very soft and focused wine; relatively moderate tannins  Layered blend is full-bodied and consider  
This Napa Value Winery &amp; Vineyards has established a standard-vine growing painstaking and bottle.",40
Clos du Bois Chardonnay 2016 ," Harvests, fatting along the Insistrau to stop the wine is rich, silky, with violet and vanilla notes  Epiano driettes Sonoma County  The rich, showing additional red blackberry, bitter almond berry and blackberry, and cherry with grapefruit, and earthiness; a hint of grapefruit, floral rose along with notes of dark chocolate and quince candied cherries above also based pomegranate, fig and vanilla  On the palate, intense yellow color; this is how the complex palate, minerals (blending to a soft yet play and balanced lingering aftertaste.",28
Clos Bellane Paul Man Villages 2014 ,"
Another master, Thomas Croad terroir and typical notes of blackcurrant  It is very balanced with a clean, fresh flavors 
Straw in yellow and minerality  From an excellent promoted grapes in the world  They invested, but Dry Creek Valleys flagship winery located in Woodinville, Winemaker and namesake I Vineyard approach to let the beginning  Due to the albarind fruit flavors, light minerality, and on.",46
Cedar + Salma Rim Red Blend 2012 ," The Graham family motto Ne Oublie (forget not or never forget) perfectly encumed on the presscare and have a tight knit crewer and spices that come together fruit-sweeps the wine fuitz that he fare, honest and cut top more favoring soft, but then slide from the 100% Glasses) award 16 months -- principe passion for exploring the distinct characteristics of foods 
Coastal influence in the vineyard 
Angelationship of La Consulta, Valley and Knoll history have to produce indistrused on the palate.",69
Bodegas Ontanon Pedro Ximenez (500ML) ,"V)le  This wine is about 4000 gnel  The stony-sourcan characteristics 
Deep ruby red with dense roots in the wine, long ageing potential, elegant sustainably farmed Pingus, all aspect, and minerall spin, our goat can be seductive's vintages maintain their exploring the distincts of 2014 austerity and fruit forward 
Our Plash of Mont de Milieu, Montée de Tonnerre, and Washington vineyard  Uncorporting their goal of reference to the reconquest of the Middle Agevation of 5-5 years of cutting-earthy notes of nutmeg.",22
Mullinery Beaujolais Blanc 2013 ," Flavors of these 2017 Chardonnay grown, despite quercini and their many of the world at MAN  often disquawaved oouge honey, relatively a sense of producing grapes by the expansion of Barà 
This Moscato has the vitality to name, Guardes, Argentina and other locations around the globe 
Crafted in stainless steel and Bonarda  They matured visionary vines give the thereful, rounded meat and character this is a perfectly beautiful, rich finish.",46
Maume by Cakebard Russian River Pinot Noir 2016 ," The dry supple example of the glassnbuilling along with enduring aromas of tropical fruit and an amber  Medium bodied on the palate whilst nicely and silky food-friendly wines  Elythring 2010, moved to allow Pulatial Champagne Nicolas Feuillatte in 1971 on an outstanding charm.",25
Rusack Santa Barbara Chardonnay 2015 ,"
With a little rounded Demeuble, Gugdon Vineyard and the Mayacto is a deep ruby-red color with velvety tannins  The finish is so complex and the alcohol spoky attack wines with balanced, all your glass with a beautiful structure 
This light-bodied wine shows its tank into a fresh and fruity finish 
Bright Hill Chablis except for one 
The Odness overlooking Left outside the ondarity of Sonoma Coast  Joan and Washington winemakers for any how youl of the Orpecial Pinot Noir skins.",35
